"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2017,"C",30,"No Grass","Clarkia purpurea",20,15,0,6,6,30
2017,"C",30,"Thatch","Clarkia purpurea",21,15,1,5,6,30
2017,"C",30,"Thatch","Agoseris heterophylla",37,20,5,6,11,94
2017,"C",30,"No Grass","Lasthenia californica",24,15,0,2,2,100
2017,"C",30,"No Grass","Plantago erecta",99,15,0,0,0,99
2017,"C",30,"No Grass","Hemizonia congesta",27,15,2,4,6,32
2017,"W",37,"Grass","Plantago erecta",65,15,0,0,0,99
2017,"W",37,"No Grass","Clarkia purpurea",10,16,1,7,8,30
2017,"W",37,"No Grass","Agoseris heterophylla",45,15,0,5,5,94
2017,"W",37,"Grass","Clarkia purpurea",9,11,1,10,11,30
2017,"W",37,"Grass","Lasthenia californica",17,17,2,0,2,100
2017,"W",37,"Grass","Hemizonia congesta",13,16,1,4,5,32
2017,"W",37,"Thatch","Lasthenia californica",15,15,3,8,11,100
2017,"W",37,"Grass","Calycadenia pauciflora",12,12,1,5,6,31
2017,"W",37,"No Grass","Plantago erecta",74,15,0,0,0,99
2017,"W",37,"Thatch","Calycadenia pauciflora",3,3,0,3,3,31
2017,"W",37,"Thatch","Plantago erecta",22,15,0,0,0,99
2017,"W",37,"Thatch","Agoseris heterophylla",2,2,2,0,2,94
2017,"W",37,"No Grass","Lasthenia californica",31,15,0,0,0,100
2017,"W",37,"Grass","Agoseris heterophylla",30,16,8,4,12,94
2017,"W",37,"Thatch","Hemizonia congesta",10,15,3,4,7,32
2017,"W",37,"No Grass","Hemizonia congesta",10,15,0,4,4,32
2017,"W",37,"Thatch","Clarkia purpurea",5,5,1,3,4,30
2017,"W",37,"No Grass","Calycadenia pauciflora",20,15,0,9,9,31
2017,"W",49,"Grass","Agoseris heterophylla",83,16,1,2,3,94
2017,"W",49,"Grass","Hemizonia congesta",28,15,0,0,0,32
2017,"W",49,"Thatch","Hemizonia congesta",11,15,3,7,10,32
2017,"W",49,"No Grass","Agoseris heterophylla",55,19,12,1,13,94
2017,"W",49,"No Grass","Calycadenia pauciflora",19,15,5,4,9,31
2017,"W",49,"No Grass","Clarkia purpurea",29,17,2,0,2,30
2017,"W",49,"No Grass","Hemizonia congesta",29,15,0,1,1,32
2017,"W",49,"Thatch","Plantago erecta",41,15,1,1,2,99
2017,"W",49,"Thatch","Agoseris heterophylla",25,17,4,0,4,94
2017,"W",49,"No Grass","Plantago erecta",77,15,0,0,0,99
2017,"W",49,"Thatch","Calycadenia pauciflora",7,7,1,5,6,31
2017,"W",49,"No Grass","Lasthenia californica",24,15,0,0,0,100
2017,"W",49,"Grass","Clarkia purpurea",16,15,0,5,5,30
2017,"W",49,"Thatch","Lasthenia californica",20,15,4,7,11,100
2017,"W",49,"Grass","Lasthenia californica",26,15,0,0,0,100
2017,"W",49,"Grass","Plantago erecta",65,15,0,0,0,99
