"Species","Plot","Subplot","Treat.Code","Year","Date","flo.a","flo.b","flo.c","avg.flo","sd.flo","n.ind","avg.seed.inf","n.seed.ind","cov.g","p.viable"
"Plantago erecta",59,"No Grass","W",2017,2017-04-09,0,4,0,4,2.16024689946929,4,2,8,NA,0.896396396
"Plantago erecta",99,"Grass","D",2017,2017-05-19,0,8,7,5.2,2.28035085019828,5,2,10.4,90,0.896396396
"Plantago erecta",89,"No Grass","D",2017,2017-04-09,12,3,0,2.33333333333333,0.577350269189626,3,2,4.66666666666667,NA,0.896396396
"Plantago erecta",49,"No Grass","W",2017,2017-05-19,0,6,9,11.4,3.04959013639538,5,2,22.8,NA,0.896396396
"Plantago erecta",93,"Thatch","D",2017,2017-04-09,9,4,0,4,3.36650164612069,4,2,8,30,0.896396396
"Plantago erecta",84,"Grass","C",2017,2017-04-09,10,1,0,2,NA,1,2,4,50,0.896396396
"Plantago erecta",17,"Grass","W",2017,2017-05-19,0,12,3,3.6,2.19089023002066,5,2,7.2,90,0.896396396
"Plantago erecta",82,"Grass","C",2017,2017-05-19,0,5,9,3.2,1.09544511501033,5,2,6.4,45,0.896396396
"Plantago erecta",93,"No Grass","D",2017,2017-04-09,11,4,0,5.5,4.79583152331272,4,2,11,NA,0.896396396
"Plantago erecta",87,"No Grass","D",2017,2017-04-09,9,6,0,4.4,2.88097205817759,5,2,8.8,NA,0.896396396
"Plantago erecta",5,"Thatch","W",2017,2017-05-19,0,13,1,2,0.707106781186548,5,2,4,85,0.896396396
"Plantago erecta",85,"Grass","D",2017,2017-04-09,9,6,0,3.2,2.48997991959775,5,2,6.4,80,0.896396396
"Plantago erecta",84,"Thatch","C",2017,2017-05-19,0,7,5,3.2,1.78885438199983,5,2,6.4,90,0.896396396
"Plantago erecta",19,"No Grass","W",2017,2017-05-19,0,15,0,6.6,1.94935886896179,5,2,13.2,NA,0.896396396
"Plantago erecta",15,"Grass","W",2017,2017-05-19,0,8,6,5.4,2.79284800875379,5,2,10.8,30,0.896396396
"Plantago erecta",91,"No Grass","D",2017,2017-04-09,13,2,0,5,1.4142135623731,2,2,10,NA,0.896396396
"Plantago erecta",98,"No Grass","C",2017,2017-04-09,14,1,0,1,NA,1,2,2,NA,0.896396396
"Plantago erecta",87,"Grass","D",2017,2017-04-09,3,12,0,3.6,1.51657508881031,5,2,7.2,90,0.896396396
"Plantago erecta",97,"No Grass","D",2017,2017-04-09,10,5,0,2.8,1.09544511501033,5,2,5.6,NA,0.896396396
"Plantago erecta",96,"Thatch","C",2017,2017-05-19,0,10,5,3.6,1.51657508881031,5,2,7.2,80,0.896396396
"Plantago erecta",85,"No Grass","D",2017,2017-04-09,5,2,0,1,0,2,2,2,NA,0.896396396
"Plantago erecta",23,"No Grass","W",2017,2017-05-19,0,13,1,5.8,3.27108544675922,5,2,11.6,NA,0.896396396
"Plantago erecta",83,"No Grass","D",2017,2017-05-19,0,15,0,9.6,4.77493455452533,5,2,19.2,NA,0.896396396
"Plantago erecta",5,"Grass","W",2017,2017-05-19,0,6,9,4,1.58113883008419,5,2,8,80,0.896396396
"Plantago erecta",29,"Thatch","W",2017,2017-05-19,0,2,12,3.6,1.51657508881031,5,2,7.2,35,0.896396396
"Plantago erecta",29,"Grass","W",2017,2017-05-19,0,5,10,5.4,2.88097205817759,5,2,10.8,85,0.896396396
"Plantago erecta",81,"Grass","D",2017,2017-04-09,7,8,0,2.2,0.836660026534076,5,2,4.4,90,0.896396396
"Plantago erecta",99,"No Grass","D",2017,2017-05-19,0,4,11,5.8,4.43846820423443,5,2,11.6,NA,0.896396396
"Plantago erecta",86,"No Grass","C",2017,2017-05-19,0,5,10,4.2,1.48323969741913,5,2,8.4,NA,0.896396396
"Plantago erecta",19,"Thatch","W",2017,2017-05-19,0,6,3,1.4,0.547722557505166,5,2,2.8,100,0.896396396
"Plantago erecta",95,"No Grass","D",2017,2017-04-09,13,2,0,1.5,0.707106781186548,2,2,3,NA,0.896396396
"Plantago erecta",82,"Thatch","C",2017,2017-05-19,0,14,1,1.4,0.547722557505166,5,2,2.8,80,0.896396396
"Plantago erecta",86,"Grass","C",2017,2017-04-09,5,2,0,1,0,2,2,2,40,0.896396396
