Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Hemizonia congesta,92,Grass,C,2017,8/21/17,0,0,9,8.2,6.57267069,5,3.26835443,26.80050633,100,0.479375
Hemizonia congesta,84,No Grass,C,2017,8/21/17,1,0,10,4.8,1.923538406,5,2.4,11.52,NA,0.479375
Hemizonia congesta,30,Grass,C,2017,8/21/17,0,0,11,10.8,7.56306816,5,4.6,49.68,75,0.479375
Hemizonia congesta,50,Grass,C,2017,8/21/17,0,0,13,9,2.915475947,5,4.2,37.8,95,0.479375
Hemizonia congesta,30,Thatch,C,2017,8/21/17,0,0,8,10.4,5.941380311,5,4,41.6,50,0.479375
Hemizonia congesta,30,No Grass,C,2017,8/21/17,0,0,9,17.2,9.011104261,5,3.6,61.92,NA,0.479375
Hemizonia congesta,98,Thatch,C,2017,8/21/17,0,0,6,9.8,6.220932406,5,2.6,25.48,30,0.479375
Hemizonia congesta,86,Grass,C,2017,8/21/17,0,0,10,13,10.86278049,5,4.6,59.8,40,0.479375
Hemizonia congesta,98,No Grass,C,2017,8/21/17,0,0,6,6.8,3.834057903,5,3.6,24.48,NA,0.479375
Lasthenia californica,56,No Grass,C,2017,4/9/17,8,7,0,1,0,5,14.92857143,14.92857143,NA,0.973557692
Lasthenia californica,30,No Grass,C,2017,4/9/17,3,10,0,1,0,5,16.90909091,16.90909091,NA,0.973557692
Lasthenia californica,84,No Grass,C,2017,4/9/17,10,4,0,1,0,5,5.166666667,5.166666667,NA,0.973557692
Lasthenia californica,50,Grass,C,2017,4/9/17,9,6,0,1,0,5,4.5,4.5,95,0.973557692
Lasthenia californica,50,No Grass,C,2017,4/9/17,3,4,0,1.2,0.447213595,5,9,10.8,NA,0.973557692
Lasthenia californica,30,Thatch,C,2017,4/9/17,7,1,0,1,0,5,10.11111111,10.11111111,50,0.973557692
Lasthenia californica,82,No Grass,C,2017,4/9/17,13,2,0,1.6,0.894427191,5,45.82142857,73.31428571,NA,0.973557692
Lasthenia californica,18,Grass,C,2017,5/19/17,0,0,7,1.6,0.547722558,5,23.82352941,38.11764706,95,0.973557692
Lasthenia californica,92,Grass,C,2017,4/9/17,11,4,0,1,0,5,30.55555556,30.55555556,100,0.973557692
Lasthenia californica,18,Thatch,C,2017,5/19/17,0,1,8,1,0,5,10.5,10.5,95,0.973557692
Lasthenia californica,86,No Grass,C,2017,4/9/17,5,10,0,1.4,0.547722558,5,46.43478261,65.00869565,NA,0.973557692
Lasthenia californica,56,Grass,C,2017,4/9/17,4,7,0,1,0,5,7.166666667,7.166666667,80,0.973557692
Lasthenia californica,86,Thatch,C,2017,5/19/17,0,0,4,1,0,5,6.142857143,6.142857143,45,0.973557692
